unitprice,area,year,direction,decoration,bedroom,hall,lavatory,storey,totalstorey,elevator,property,far,parkinglot,greening,fee,admdist,secdist,subway,school,business,amenity
28652,89,4,1,1,2,2,1,中层,20,1,1,1.5,1289,0.35,2.3,浦东,27929.52083,TRUE,FALSE,TRUE,FALSE
71386,67.2,13,1,3,1,2,1,低层,18,1,1,1.3,1500,0.4,1.55,浦东,51081.42308,TRUE,TRUE,TRUE,FALSE
31481,108,6,1,1,3,2,2,中层,21,1,1,2.8,800,0.55,2.9,浦东,29870.67416,TRUE,TRUE,TRUE,TRUE
97569,179.4,14,1,3,3,2,2,高层,26,1,1,2.3,100,0.43,3.5,浦东,95911.42857,FALSE,TRUE,TRUE,FALSE
77502,91.6,19,1,3,2,2,1,高层,18,1,1,1.3,100,0.35,0.8,浦东,70757.42857,TRUE,FALSE,TRUE,TRUE
51351,74,13,1,3,2,1,1,中层,14,1,1,1.7,300,0.3,1.2,浦东,50950.82051,TRUE,FALSE,TRUE,FALSE
78500,124.8,7,1,3,3,2,2,高层,12,1,1,1.4,850,0.45,1.85,浦东,52122.88281,TRUE,TRUE,TRUE,FALSE
63465,87.5,16,1,3,2,2,1,中层,6,0,1,1.2,1500,0.4,1.55,浦东,51081.42308,TRUE,TRUE,TRUE,TRUE
35232,95.3,12,1,3,2,2,1,中层,7,1,1,1.3,100,0.35,0.5,浦东,41074.30357,FALSE,TRUE,TRUE,TRUE
17955,88,2,1,3,2,2,1,中层,8,1,1,1.6,390,0.35,2.5,浦东,21714.91667,FALSE,FALSE,TRUE,TRUE
46875,96,14,1,3,2,2,2,低层,13,1,1,1.4,90,0.35,0.8,浦东,48258.65812,TRUE,FALSE,TRUE,TRUE
71752,50.9,19,1,3,1,1,1,中层,6,0,1,1.6,300,0.4,0.8,浦东,67296.92593,TRUE,TRUE,TRUE,TRUE
55035,70.5,11,1,1,2,2,1,低层,6,1,1,2.5,500,0.35,0.8,浦东,50950.82051,TRUE,TRUE,FALSE,FALSE
28378,74,4,1,1,1,2,1,高层,21,1,1,1.5,1289,0.35,2.3,浦东,27929.52083,TRUE,TRUE,TRUE,FALSE
54395,82.4,9,1,3,2,2,1,高层,11,1,1,2.5,500,0.35,0.8,浦东,50950.82051,TRUE,FALSE,TRUE,FALSE
84498,130.2,29,1,2,3,2,2,低层,18,1,1,1.8,670,0.4,2,浦东,74209.62712,TRUE,TRUE,TRUE,FALSE
59524,84,10,1,3,2,2,1,高层,12,1,1,1.7,370,0.28,1.1,浦东,48439.19444,TRUE,FALSE,TRUE,FALSE
48701,52.4,22,1,3,1,1,1,中层,6,0,1,1.8,200,0.39,0.8,浦东,48258.65812,TRUE,TRUE,TRUE,FALSE
49137,75.3,18,1,3,2,1,1,中层,18,1,1,1.2,100,0.3,0.8,浦东,48439.19444,FALSE,FALSE,TRUE,TRUE
56209,153,2,1,3,3,2,3,低层,19,1,1,2.2,388,0.4,4.5,浦东,48392.1625,TRUE,FALSE,TRUE,FALSE
36898,66.4,19,1,2,2,1,1,低层,6,0,1,1.2,70,0.4,0.5,浦东,35529.96226,FALSE,TRUE,TRUE,TRUE
86124,125.4,6,1,4,3,2,2,低层,18,1,1,2.7,406,0.4,3.5,浦东,48258.65812,FALSE,TRUE,FALSE,FALSE
29698,84.2,7,1,3,2,2,1,低层,18,1,1,1.2,650,0.36,3.65,浦东,27929.52083,TRUE,TRUE,TRUE,FALSE
